;ds;trend;additive_terms;additive_terms_lower;additive_terms_upper;weekly;weekly_lower;weekly_upper;multiplicative_terms;multiplicative_terms_lower;multiplicative_terms_upper;yhat_lower;yhat_upper;trend_lower;trend_upper;yhat
69;27/06/2020;521.010.942.157.925;429.198.828.312.959;429.198.828.312.959;429.198.828.312.959;429.198.828.312.959;429.198.828.312.959;429.198.828.312.959;0;0;0;356.264.370.836.669;761.885.307.267.229;521.010.942.157.925;521.010.942.157.925;563.930.824.989.221
70;28/06/2020;525.413.814.960.756;-218.905.916.702.135;-218.905.916.702.135;-218.905.916.702.135;-218.905.916.702.135;-218.905.916.702.135;-218.905.916.702.135;0;0;0;112.532.155.981.598;523.069.696.024.826;525.413.814.960.756;525.413.814.960.756;30.650.789.825.862
71;29/06/2020;529.816.687.763.586;-274.157.106.116.478;-274.157.106.116.478;-274.157.106.116.478;-274.157.106.116.478;-274.157.106.116.478;-274.157.106.116.478;0;0;0;46.375.954.629.937;450.587.469.825.871;529.816.687.763.586;529.816.687.763.586;255.659.581.647.107
72;30/06/2020;534.219.560.566.416;171.757.523.686.854;171.757.523.686.854;171.757.523.686.854;171.757.523.686.854;171.757.523.686.854;171.757.523.686.854;0;0;0;48.814.617.284.827;934.632.915.459.625;534.219.560.566.416;534.219.560.566.416;70.597.708.425.327
73;01/07/2020;538.622.433.369.247;765.276.072.042.738;765.276.072.042.738;765.276.072.042.738;765.276.072.042.738;765.276.072.042.738;765.276.072.042.738;0;0;0;384.409.228.403.008;826.782.178.095.641;538.622.433.369.247;538.622.433.369.247;615.150.040.573.521
74;02/07/2020;543.025.306.172.077;11.853.187.845;11.853.187.845;11.853.187.845;11.853.187.845;11.853.187.845;11.853.187.845;0;0;0;451.123.227.571.557;884.282.491.976.552;543.025.281.928.543;543.025.324.460.134;661.557.184.622.077
75;03/07/2020;547.428.178.974.907;833.261.306.467.563;833.261.306.467.563;833.261.306.467.563;833.261.306.467.563;833.261.306.467.563;833.261.306.467.563;0;0;0;423.854.875.620.484;82.825.012.715.323;54.742.810.140.294;547.428.242.819.268;630.754.309.621.664
76;04/07/2020;551.831.051.777.738;429.198.828.309.847;429.198.828.309.847;429.198.828.309.847;429.198.828.309.847;429.198.828.309.847;429.198.828.309.847;0;0;0;40.123.038.862.577;809.815.471.487.898;551.830.905.160.907;551.831.166.831.649;594.750.934.608.722
77;05/07/2020;556.233.924.580.568;-218.905.916.702.686;-218.905.916.702.686;-218.905.916.702.686;-218.905.916.702.686;-218.905.916.702.686;-218.905.916.702.686;0;0;0;124.460.287.091.323;568.410.964.693.599;556.233.702.248.599;556.234.117.410.842;337.328.007.877.882
78;06/07/2020;560.636.797.383.398;-27.415.710.611.744;-27.415.710.611.744;-27.415.710.611.744;-27.415.710.611.744;-27.415.710.611.744;-27.415.710.611.744;0;0;0;630.870.694.410.583;490.273.696.924.694;560.636.503.960.322;560.637.071.508.289;286.479.691.265.959
79;07/07/2020;565.039.670.186.229;171.757.523.687.067;171.757.523.687.067;171.757.523.687.067;171.757.523.687.067;171.757.523.687.067;171.757.523.687.067;0;0;0;50.316.915.044.727;936.359.829.521.277;565.039.301.977.777;565.040.035.492.962;736.797.193.873.296
80;08/07/2020;569.442.542.989.059;765.276.072.042.202;765.276.072.042.202;765.276.072.042.202;765.276.072.042.202;765.276.072.042.202;765.276.072.042.202;0;0;0;421.727.098.305.813;8.609.543.555.988;569.442.100.874.733;569.442.992.503.407;645.970.150.193.279
81;09/07/2020;57.384.541.579.189;118.531.878.450.242;118.531.878.450.242;118.531.878.450.242;118.531.878.450.242;118.531.878.450.242;118.531.878.450.242;0;0;0;493.708.424.780.584;900.340.851.523.455;573.844.890.761.829;573.845.941.182.511;692.377.294.242.132
82;10/07/2020;57.824.828.859.472;833.261.306.474.101;833.261.306.474.101;833.261.306.474.101;833.261.306.474.101;833.261.306.474.101;833.261.306.474.101;0;0;0;435.730.918.920.154;869.056.029.030.072;578.247.649.061.127;578.248.920.156.368;66.157.441.924.213
83;11/07/2020;58.265.116.139.755;429.198.828.312.321;429.198.828.312.321;429.198.828.312.321;429.198.828.312.321;429.198.828.312.321;429.198.828.312.321;0;0;0;405.434.421.309.243;831.485.171.812.597;582.650.431.637.131;582.651.938.828.346;625.571.044.228.782
84;12/07/2020;58.705.403.420.038;-218.905.916.702.206;-218.905.916.702.206;-218.905.916.702.206;-218.905.916.702.206;-218.905.916.702.206;-218.905.916.702.206;0;0;0;160.398.730.898.752;579.896.316.458.227;587.053.168.754.933;587.054.921.214.744;368.148.117.498.174
85;13/07/2020;591.456.907.003.211;-274.157.106.117.329;-274.157.106.117.329;-274.157.106.117.329;-274.157.106.117.329;-274.157.106.117.329;-274.157.106.117.329;0;0;0;111.177.962.502.629;534.243.423.795.568;591.455.958.363.078;591.457.929.632.594;317.299.800.885.882
86;14/07/2020;595.859.779.806.041;17.175.752.368.728;17.175.752.368.728;17.175.752.368.728;17.175.752.368.728;17.175.752.368.728;17.175.752.368.728;0;0;0;560.502.380.752.168;98.725.438.388.729;595.858.714.696.572;595.860.942.794.355;767.617.303.493.322
87;15/07/2020;600.262.652.608.871;765.276.072.041.666;765.276.072.041.666;765.276.072.041.666;765.276.072.041.666;765.276.072.041.666;765.276.072.041.666;0;0;0;452.196.542.269.385;9.118.133.922.319;600.261.447.561.227;60.026.395.139.626;676.790.259.813.038
88;16/07/2020;604.665.525.411.702;118.531.878.450.484;118.531.878.450.484;118.531.878.450.484;118.531.878.450.484;118.531.878.450.484;118.531.878.450.484;0;0;0;480.353.451.661.203;929.293.242.100.776;604.664.208.027.409;604.666.956.584.197;723.197.403.862.186
